parameter,Canonical,Canonical_OilExempt,Quantitative_Benchmark,Only_Aggregate_Consumption,Only_Aggregate_Consumption_IdenticalTech
N_GL,25,25,25,25,25
Nz,21,21,21,21,21
Nb,31,31,200,200,200
GR_z_Width,3,3,5,5,5
cnt_max,300,300,300,300,300
b_y_high,0.0875,0.0875,0.5,1.5,1.5
gamma,1,1,0.05,0.05,0.05
phi,0.282,0.282,0.25,0.25,0.25
Quarterly,1,1,0,0,0
WithDiscoveries,1,1,1,1,1
Twait,5,5,5,5,5
yoil_GDP_target_L,0.06,0.06,0.06,0.06,0.06
yoil_GDP_target_H,0.1014,0.1014,0.1014,0.1014,0.1014
IdenticalTechnology,0,0,0,0,1
IsEndowmentCase,1,1,0,0,0
OilExempt,0,1,0,0,0
knk,0.969,0.969,0,0,0
A,0,0,0.079475098,0.039455566,0.045922852
beta,0.953,0.953,0.922353516,0.925556641,0.914746094
theta_f,0,0,0.643375244,0.387369385,0.41901123
rho_z,0.945,0.945,0.95,0.95,0.95
sigma_z,0.025,0.025,0.024346619,0.025423279,0.023084106
With_g,0,0,1,0,0
tau,0,0,0.159,0.159,0.159
PrivateOilField,0,0,0,0,0
theta_o,0,0,0.44,0.44,0.44
